id_experimento,conjunto_experimento,prompt_variant,tokens_config,n_vizinhos,iteracoes,modelo_executado,status,process_id,hora_inicio,hora_fim,modelo,num_vizinhos,num_iteracoes,temperaturas,variante_prompt,notas,caminho_csv_saida,caminho_log_saida,caminho_log_prompt_saida
1,tokens_kz_only_token_gemma27b_n7,v9_lista_completa_meio_kz,kz,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_kz,,,,
2,tokens_kz_cot_gemma27b_n7,v21_zero_shot_cot,kz,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot,,,,
3,tokens_ab_only_token_gemma27b_n7,v9_lista_completa_meio_ab,ab,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_ab,,,,
4,tokens_ab_cot_gemma27b_n7,v21_zero_shot_cot_ab,ab,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_ab,,,,
5,tokens_01_only_token_gemma27b_n7,v9_lista_completa_meio_01,01,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_01,,,,
6,tokens_01_cot_gemma27b_n7,v21_zero_shot_cot_01,01,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_01,,,,
7,tokens_greek_only_token_gemma27b_n7,v9_lista_completa_meio_αβ,αβ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_αβ,,,,
8,tokens_greek_cot_gemma27b_n7,v21_zero_shot_cot_αβ,αβ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_αβ,,,,
9,tokens_geom_only_token_gemma27b_n7,v9_lista_completa_meio_△○,△○,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_△○,,,,
10,tokens_geom_cot_gemma27b_n7,v21_zero_shot_cot_△○,△○,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_△○,,,,
11,tokens_math_only_token_gemma27b_n7,v9_lista_completa_meio_⊕⊖,⊕⊖,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_⊕⊖,,,,
12,tokens_math_cot_gemma27b_n7,v21_zero_shot_cot_⊕⊖,⊕⊖,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_⊕⊖,,,,
13,tokens_pq_only_token_gemma27b_n7,v9_lista_completa_meio_pq,pq,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_pq,,,,
14,tokens_pq_cot_gemma27b_n7,v21_zero_shot_cot_pq,pq,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_pq,,,,
15,tokens_latin_only_token_gemma27b_n7,v9_lista_completa_meio_łþ,łþ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_łþ,,,,
16,tokens_latin_cot_gemma27b_n7,v21_zero_shot_cot_łþ,łþ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_łþ,,,,
17,tokens_yesno_only_token_gemma27b_n7,v9_lista_completa_meio_yesno,yesno,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_yesno,,,,
