model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,01,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,01,7,com_cot,60,A100,4,200,2.5,2.5,0.0,97.5,2.4
Gemma 27B,01,7,com_cot,65,A100,4,200,13.5,13.5,0.0,86.5,2.4142156862745097
Gemma 27B,01,7,com_cot,70,A100,4,200,28.5,28.5,0.0,71.5,2.307894736842105
Gemma 27B,01,7,only_token,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,55,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,60,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,01,7,only_token,65,A100,4,200,3.5000000000000004,3.5000000000000004,0.0,96.5,2.5714285714285716
Gemma 27B,01,7,only_token,70,A100,4,200,8.0,8.0,0.0,92.0,2.166666666666667
Gemma 27B,01,9,com_cot,51,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,01,9,com_cot,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,01,9,com_cot,60,A100,4,200,6.0,6.0,0.0,94.0,2.5
Gemma 27B,01,9,com_cot,65,A100,4,200,23.5,23.5,0.0,76.5,2.400574712643678
Gemma 27B,01,9,com_cot,70,A100,4,200,45.5,45.5,0.0,54.5,2.224363344988345
Gemma 27B,01,9,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,7.0
Gemma 27B,01,9,only_token,55,A100,4,200,0.5,0.5,0.0,99.5,5.0
Gemma 27B,01,9,only_token,60,A100,4,200,2.5,2.5,0.0,97.5,4.0
Gemma 27B,01,9,only_token,65,A100,4,200,10.5,10.5,0.0,89.5,2.986111111111111
Gemma 27B,01,9,only_token,70,A100,4,200,22.0,22.0,0.0,78.0,3.848961038961039
Gemma 27B,01,11,com_cot,51,A100,4,200,3.5000000000000004,3.5000000000000004,0.0,96.5,2.142857142857143
Gemma 27B,01,11,com_cot,55,A100,4,200,10.0,10.0,0.0,90.0,2.9333333333333336
Gemma 27B,01,11,com_cot,60,A100,4,200,23.0,23.0,0.0,77.0,3.070979020979021
Gemma 27B,01,11,com_cot,65,A100,4,200,50.0,50.0,0.0,50.0,2.445409631019387
Gemma 27B,01,11,com_cot,70,A100,4,200,68.5,68.5,0.0,31.5,2.0692698353448633
Gemma 27B,01,11,only_token,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,55,A100,4,200,1.5,1.5,0.0,98.5,4.333333333333333
Gemma 27B,01,11,only_token,60,A100,4,200,8.5,8.5,0.0,91.5,4.273809523809524
Gemma 27B,01,11,only_token,65,A100,4,200,27.5,27.5,0.0,72.5,3.517857142857143
Gemma 27B,01,11,only_token,70,A100,4,200,48.5,48.5,0.0,51.5,2.6305708180708183
Gemma 27B,ab,7,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,16.85
Gemma 27B,ab,7,com_cot,55,A100,4,200,50.0,100.0,50.0,0.0,13.83
Gemma 27B,ab,7,com_cot,60,A100,4,200,50.5,100.0,49.5,0.0,9.748846153846154
Gemma 27B,ab,7,com_cot,65,A100,4,200,55.0,100.0,45.0,0.0,5.971981351981352
Gemma 27B,ab,7,com_cot,70,A100,4,200,62.5,100.0,37.5,0.0,4.156095076400679
Gemma 27B,ab,7,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,5.0
Gemma 27B,ab,7,only_token,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,ab,7,only_token,60,A100,4,200,2.0,2.0,0.0,98.0,2.75
Gemma 27B,ab,7,only_token,65,A100,4,200,12.5,12.5,0.0,87.5,2.8793650793650793
Gemma 27B,ab,7,only_token,70,A100,4,200,22.0,22.0,0.0,78.0,2.9275
Gemma 27B,ab,9,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,19.95
Gemma 27B,ab,9,com_cot,55,A100,4,200,51.0,100.0,49.0,0.0,14.58962962962963
Gemma 27B,ab,9,com_cot,60,A100,4,200,53.0,100.0,47.0,0.0,10.257435897435897
