model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,01,7,com_cot,A100,30,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,30,55,50,4.0,4.0,0.0,96.0,2.0
Gemma 27B,01,7,com_cot,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,30,60,50,10.0,10.0,0.0,90.0,2.4
Gemma 27B,01,7,com_cot,A100,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,30,65,50,34.0,34.0,0.0,66.0,2.1176470588235294
Gemma 27B,01,7,com_cot,A100,60,65,50,16.0,16.0,0.0,84.0,2.625
Gemma 27B,01,7,com_cot,A100,90,65,50,4.0,4.0,0.0,96.0,2.5
Gemma 27B,01,7,com_cot,A100,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,A100,30,70,50,56.00000000000001,56.00000000000001,0.0,44.0,1.75
Gemma 27B,01,7,com_cot,A100,60,70,50,38.0,38.0,0.0,62.0,2.473684210526316
Gemma 27B,01,7,com_cot,A100,90,70,50,20.0,20.0,0.0,80.0,2.7
Gemma 27B,01,7,com_cot,A100,120,70,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,30,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,30,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,30,60,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,7,only_token,A100,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,30,65,50,14.000000000000002,14.000000000000002,0.0,86.0,2.5714285714285716
Gemma 27B,01,7,only_token,A100,60,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,90,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,30,70,50,30.0,30.0,0.0,70.0,2.3333333333333335
Gemma 27B,01,7,only_token,A100,60,70,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,01,7,only_token,A100,90,70,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,A100,120,70,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,30,51,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,9,com_cot,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,30,55,50,4.0,4.0,0.0,96.0,2.0
Gemma 27B,01,9,com_cot,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,30,60,50,20.0,20.0,0.0,80.0,2.5
Gemma 27B,01,9,com_cot,A100,60,60,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,01,9,com_cot,A100,90,60,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,9,com_cot,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,A100,30,65,50,57.99999999999999,57.99999999999999,0.0,42.0,2.0689655172413794
Gemma 27B,01,9,com_cot,A100,60,65,50,24.0,24.0,0.0,76.0,2.3333333333333335
Gemma 27B,01,9,com_cot,A100,90,65,50,10.0,10.0,0.0,90.0,2.2
Gemma 27B,01,9,com_cot,A100,120,65,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,9,com_cot,A100,30,70,50,78.0,78.0,0.0,22.0,1.7435897435897436
Gemma 27B,01,9,com_cot,A100,60,70,50,50.0,50.0,0.0,50.0,2.08
Gemma 27B,01,9,com_cot,A100,90,70,50,32.0,32.0,0.0,68.0,2.4375
Gemma 27B,01,9,com_cot,A100,120,70,50,22.0,22.0,0.0,78.0,2.6363636363636362
Gemma 27B,01,9,only_token,A100,30,51,50,2.0,2.0,0.0,98.0,7.0
