model,n_window,format,majority_pct,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,7,com_cot,51,45,2250,9.333333333333334,18.31111111111111,8.977777777777778,81.68888888888888,14.103809523809526
Gemma 27B,7,com_cot,55,36,1800,11.666666666666666,22.77777777777778,11.11111111111111,77.22222222222223,8.709333333333332
Gemma 27B,7,com_cot,60,36,1800,13.333333333333334,24.333333333333332,11.0,75.66666666666667,6.27025641025641
Gemma 27B,7,com_cot,65,36,1800,24.22222222222222,34.22222222222222,10.0,65.77777777777777,3.4674409679261817
Gemma 27B,7,com_cot,70,36,1800,38.333333333333336,46.666666666666664,8.333333333333334,53.333333333333336,2.883231182028828
Gemma 27B,7,only_token,51,36,1800,6.388888888888889,12.222222222222221,5.833333333333333,87.77777777777777,4.009166666666666
Gemma 27B,7,only_token,55,36,1800,6.777777777777778,12.333333333333334,5.555555555555555,87.66666666666667,2.990769230769231
Gemma 27B,7,only_token,60,36,1800,8.5,14.055555555555555,5.555555555555555,85.94444444444444,3.2272180451127817
Gemma 27B,7,only_token,65,36,1800,16.333333333333332,21.88888888888889,5.555555555555555,78.11111111111111,2.6038141923436045
Gemma 27B,7,only_token,70,36,1800,25.166666666666668,30.72222222222222,5.555555555555555,69.27777777777777,2.3094102789336297
Gemma 27B,9,com_cot,51,36,1800,22.72222222222222,44.77777777777778,22.055555555555557,55.22222222222222,17.476165413533835
Gemma 27B,9,com_cot,55,36,1800,23.72222222222222,45.44444444444444,21.72222222222222,54.55555555555556,11.592046637908707
Gemma 27B,9,com_cot,60,36,1800,28.72222222222222,49.111111111111114,20.38888888888889,50.888888888888886,7.091860224135471
Gemma 27B,9,com_cot,65,36,1800,45.44444444444444,61.111111111111114,15.666666666666666,38.888888888888886,4.09389948093234
Gemma 27B,9,com_cot,70,36,1800,64.16666666666667,74.44444444444444,10.277777777777779,25.555555555555557,2.883280092875223
Gemma 27B,9,only_token,51,36,1800,17.555555555555557,34.22222222222222,16.666666666666668,65.77777777777777,7.088869047619047
Gemma 27B,9,only_token,55,36,1800,18.11111111111111,34.77777777777778,16.666666666666668,65.22222222222223,4.764404761904762
Gemma 27B,9,only_token,60,36,1800,21.333333333333332,38.0,16.666666666666668,62.0,3.769140406918185
Gemma 27B,9,only_token,65,36,1800,31.22222222222222,47.55555555555556,16.333333333333332,52.44444444444444,2.824520138944432
Gemma 27B,9,only_token,70,36,1800,40.55555555555556,56.166666666666664,15.61111111111111,43.833333333333336,2.454204744220159
Gemma 27B,11,com_cot,51,36,1800,24.88888888888889,46.5,21.61111111111111,53.5,17.48906091172101
Gemma 27B,11,com_cot,55,36,1800,28.833333333333332,49.166666666666664,20.333333333333332,50.833333333333336,10.261509666053277
Gemma 27B,11,com_cot,60,36,1800,38.77777777777778,56.111111111111114,17.333333333333332,43.888888888888886,6.139020980058337
Gemma 27B,11,com_cot,65,36,1800,62.05555555555556,72.16666666666667,10.11111111111111,27.833333333333332,3.5681591614619887
Gemma 27B,11,com_cot,70,36,1800,79.33333333333333,85.05555555555556,5.722222222222222,14.944444444444445,2.555798802903952
Gemma 27B,11,only_token,51,36,1800,14.0,26.166666666666668,12.166666666666666,73.83333333333333,5.802364475201846
Gemma 27B,11,only_token,55,36,1800,16.444444444444443,28.22222222222222,11.777777777777779,71.77777777777777,4.273785486443382
Gemma 27B,11,only_token,60,36,1800,22.0,33.388888888888886,11.38888888888889,66.61111111111111,3.3014050705943743
Gemma 27B,11,only_token,65,36,1800,37.5,48.05555555555556,10.555555555555555,51.94444444444444,2.5982820949099144
Gemma 27B,11,only_token,70,36,1800,51.333333333333336,60.888888888888886,9.555555555555555,39.111111111111114,2.148895017604004
