model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,01,7,com_cot,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,55,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,2.0
Gemma 27B,01,7,com_cot,60,srv54_parallel_20260313,4,200,3.0,3.0,0.0,97.0,2.9
Gemma 27B,01,7,com_cot,65,srv54_parallel_20260313,4,200,16.5,16.5,0.0,83.5,2.3981481481481484
Gemma 27B,01,7,com_cot,70,srv54_parallel_20260313,4,200,30.0,30.0,0.0,70.0,2.3351781572844192
Gemma 27B,01,7,only_token,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,55,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,60,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,01,7,only_token,65,srv54_parallel_20260313,4,200,3.5000000000000004,3.5000000000000004,0.0,96.5,2.0
Gemma 27B,01,7,only_token,70,srv54_parallel_20260313,4,200,8.0,8.0,0.0,92.0,2.466666666666667
Gemma 27B,01,9,com_cot,51,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,4.0
Gemma 27B,01,9,com_cot,55,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,2.6666666666666665
Gemma 27B,01,9,com_cot,60,srv54_parallel_20260313,4,200,9.0,9.0,0.0,91.0,2.9555555555555557
Gemma 27B,01,9,com_cot,65,srv54_parallel_20260313,4,200,31.0,31.0,0.0,69.0,3.15625
Gemma 27B,01,9,com_cot,70,srv54_parallel_20260313,4,200,56.0,56.0,0.0,44.0,2.599872953133823
Gemma 27B,01,9,only_token,51,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,8.0
Gemma 27B,01,9,only_token,55,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,8.0
Gemma 27B,01,9,only_token,60,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,4.666666666666667
Gemma 27B,01,9,only_token,65,srv54_parallel_20260313,4,200,5.0,5.0,0.0,95.0,4.4523809523809526
Gemma 27B,01,9,only_token,70,srv54_parallel_20260313,4,200,9.5,9.5,0.0,90.5,3.2115384615384617
Gemma 27B,01,11,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,14.91
Gemma 27B,01,11,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,10.95
Gemma 27B,01,11,com_cot,60,srv54_parallel_20260313,4,200,52.0,100.0,48.0,0.0,6.956206896551724
Gemma 27B,01,11,com_cot,65,srv54_parallel_20260313,4,200,62.0,100.0,38.0,0.0,3.9028463203463204
Gemma 27B,01,11,com_cot,70,srv54_parallel_20260313,4,200,73.0,100.0,27.0,0.0,2.4890649128026405
Gemma 27B,01,11,only_token,51,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,5.0
Gemma 27B,01,11,only_token,55,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,7.5
Gemma 27B,01,11,only_token,60,srv54_parallel_20260313,4,200,5.5,5.5,0.0,94.5,3.3
Gemma 27B,01,11,only_token,65,srv54_parallel_20260313,4,200,20.0,20.0,0.0,80.0,3.4644444444444447
Gemma 27B,01,11,only_token,70,srv54_parallel_20260313,4,200,34.5,34.5,0.0,65.5,2.747752192982456
Gemma 27B,ab,7,com_cot,51,srv54_parallel_20260313,4,200,5.0,6.0,1.0,94.0,3.119047619047619
Gemma 27B,ab,7,com_cot,55,srv54_parallel_20260313,4,200,9.0,9.5,0.5,90.5,2.5619047619047617
Gemma 27B,ab,7,com_cot,60,srv54_parallel_20260313,4,200,18.0,18.0,0.0,82.0,2.7283653846153846
Gemma 27B,ab,7,com_cot,65,srv54_parallel_20260313,4,200,30.5,30.5,0.0,69.5,2.446363609693129
