model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,30,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,30,55,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,30,60,50,10.0,10.0,0.0,90.0,2.8
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,60,60,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,30,65,50,40.0,40.0,0.0,60.0,2.25
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,60,65,50,18.0,18.0,0.0,82.0,2.4444444444444446
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,90,65,50,8.0,8.0,0.0,92.0,2.5
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,30,70,50,62.0,62.0,0.0,38.0,1.935483870967742
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,60,70,50,34.0,34.0,0.0,66.0,2.2941176470588234
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,90,70,50,18.0,18.0,0.0,82.0,2.4444444444444446
Gemma 27B,01,7,com_cot,srv54_parallel_20260313,120,70,50,6.0,6.0,0.0,94.0,2.6666666666666665
Gemma 27B,01,7,only_token,srv54_parallel_20260313,30,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,30,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,30,60,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,7,only_token,srv54_parallel_20260313,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,30,65,50,14.000000000000002,14.000000000000002,0.0,86.0,2.0
Gemma 27B,01,7,only_token,srv54_parallel_20260313,60,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,90,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,30,70,50,30.0,30.0,0.0,70.0,1.9333333333333333
Gemma 27B,01,7,only_token,srv54_parallel_20260313,60,70,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,7,only_token,srv54_parallel_20260313,90,70,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,7,only_token,srv54_parallel_20260313,120,70,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,30,51,50,2.0,2.0,0.0,98.0,4.0
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,30,55,50,6.0,6.0,0.0,94.0,2.6666666666666665
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,30,60,50,30.0,30.0,0.0,70.0,2.8666666666666667
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,60,60,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,90,60,50,4.0,4.0,0.0,96.0,4.0
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,30,65,50,72.0,72.0,0.0,28.000000000000004,2.4166666666666665
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,60,65,50,32.0,32.0,0.0,68.0,2.875
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,90,65,50,14.000000000000002,14.000000000000002,0.0,86.0,3.0
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,120,65,50,6.0,6.0,0.0,94.0,4.333333333333333
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,30,70,50,84.0,84.0,0.0,16.0,2.0714285714285716
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,60,70,50,66.0,66.0,0.0,34.0,2.5454545454545454
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,90,70,50,46.0,46.0,0.0,54.0,2.782608695652174
Gemma 27B,01,9,com_cot,srv54_parallel_20260313,120,70,50,28.000000000000004,28.000000000000004,0.0,72.0,3.0
Gemma 27B,01,9,only_token,srv54_parallel_20260313,30,51,50,2.0,2.0,0.0,98.0,8.0
Gemma 27B,01,9,only_token,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,30,55,50,2.0,2.0,0.0,98.0,8.0
Gemma 27B,01,9,only_token,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,30,60,50,6.0,6.0,0.0,94.0,4.666666666666667
Gemma 27B,01,9,only_token,srv54_parallel_20260313,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,30,65,50,14.000000000000002,14.000000000000002,0.0,86.0,2.857142857142857
Gemma 27B,01,9,only_token,srv54_parallel_20260313,60,65,50,4.0,4.0,0.0,96.0,4.5
Gemma 27B,01,9,only_token,srv54_parallel_20260313,90,65,50,2.0,2.0,0.0,98.0,6.0
Gemma 27B,01,9,only_token,srv54_parallel_20260313,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,srv54_parallel_20260313,30,70,50,26.0,26.0,0.0,74.0,2.3846153846153846
Gemma 27B,01,9,only_token,srv54_parallel_20260313,60,70,50,8.0,8.0,0.0,92.0,4.25
Gemma 27B,01,9,only_token,srv54_parallel_20260313,90,70,50,4.0,4.0,0.0,96.0,3.0
Gemma 27B,01,9,only_token,srv54_parallel_20260313,120,70,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,30,51,50,50.0,100.0,50.0,0.0,6.12
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,60,51,50,50.0,100.0,50.0,0.0,15.16
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,90,51,50,50.0,100.0,50.0,0.0,19.56
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,120,51,50,50.0,100.0,50.0,0.0,18.8
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,30,55,50,50.0,100.0,50.0,0.0,4.28
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,60,55,50,50.0,100.0,50.0,0.0,11.12
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,90,55,50,50.0,100.0,50.0,0.0,12.48
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,120,55,50,50.0,100.0,50.0,0.0,15.92
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,30,60,50,57.99999999999999,100.0,42.0,0.0,3.3448275862068964
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,60,60,50,50.0,100.0,50.0,0.0,5.64
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,90,60,50,50.0,100.0,50.0,0.0,7.32
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,120,60,50,50.0,100.0,50.0,0.0,11.52
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,30,65,50,88.0,100.0,12.0,0.0,2.090909090909091
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,60,65,50,56.00000000000001,100.0,44.0,0.0,3.107142857142857
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,90,65,50,54.0,100.0,46.0,0.0,4.333333333333333
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,120,65,50,50.0,100.0,50.0,0.0,6.08
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,30,70,50,92.0,100.0,8.0,0.0,1.826086956521739
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,60,70,50,72.0,100.0,28.000000000000004,0.0,2.2777777777777777
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,90,70,50,66.0,100.0,34.0,0.0,2.787878787878788
Gemma 27B,01,11,com_cot,srv54_parallel_20260313,120,70,50,62.0,100.0,38.0,0.0,3.064516129032258
Gemma 27B,01,11,only_token,srv54_parallel_20260313,30,51,50,2.0,2.0,0.0,98.0,5.0
Gemma 27B,01,11,only_token,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,30,55,50,6.0,6.0,0.0,94.0,4.0
Gemma 27B,01,11,only_token,srv54_parallel_20260313,60,55,50,2.0,2.0,0.0,98.0,11.0
Gemma 27B,01,11,only_token,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,30,60,50,20.0,20.0,0.0,80.0,3.6
Gemma 27B,01,11,only_token,srv54_parallel_20260313,60,60,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,01,11,only_token,srv54_parallel_20260313,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,30,65,50,50.0,50.0,0.0,50.0,2.56
Gemma 27B,01,11,only_token,srv54_parallel_20260313,60,65,50,18.0,18.0,0.0,82.0,3.3333333333333335
Gemma 27B,01,11,only_token,srv54_parallel_20260313,90,65,50,12.0,12.0,0.0,88.0,4.5
Gemma 27B,01,11,only_token,srv54_parallel_20260313,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,srv54_parallel_20260313,30,70,50,60.0,60.0,0.0,40.0,2.066666666666667
Gemma 27B,01,11,only_token,srv54_parallel_20260313,60,70,50,38.0,38.0,0.0,62.0,2.736842105263158
Gemma 27B,01,11,only_token,srv54_parallel_20260313,90,70,50,32.0,32.0,0.0,68.0,3.1875
Gemma 27B,01,11,only_token,srv54_parallel_20260313,120,70,50,8.0,8.0,0.0,92.0,3.0
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,30,51,50,14.000000000000002,18.0,4.0,82.0,2.5714285714285716
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,60,51,50,6.0,6.0,0.0,94.0,3.6666666666666665
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,30,55,50,20.0,22.0,2.0,78.0,2.4
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,60,55,50,14.000000000000002,14.000000000000002,0.0,86.0,3.2857142857142856
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,90,55,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,30,60,50,26.0,26.0,0.0,74.0,2.3076923076923075
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,60,60,50,26.0,26.0,0.0,74.0,2.230769230769231
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,90,60,50,16.0,16.0,0.0,84.0,2.875
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,120,60,50,4.0,4.0,0.0,96.0,3.5
Gemma 27B,ab,7,com_cot,srv54_parallel_20260313,30,65,50,46.0,46.0,0.0,54.0,2.3043478260869565
